sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,3.863833412943485,0.08417149017832408,0.0074690119716990366,127,2.178445113507155
17A-HF | 12-03-2018,Int1,2.615363691333473,0.16672874941326418,0.016590130634339978,101,6.37497377384847
17A-HF | 12-03-2018,Int2,1.7367035243018196,0.6743710153007871,0.0830093337466203,66,38.830520342952276
17A-HF | 12-03-2018,Int3,3.350199820654078,0.12191049644655504,0.01759626448511487,48,3.638902243829557
17A-HF | 12-03-2018,Int4,1.7883301566907572,0.61609022968903,0.07583546495022227,66,34.450586620374594
17B-HF | 30-04-2018,Int1,3.7495061609052684,0.08682430769672382,0.007992825388219799,118,2.3156198168710636
17B-HF | 30-04-2018,Int2,2.724532762538252,0.17312776913299707,0.01972974037156746,77,6.354402175428653
17B-HF | 30-04-2018,Int3,4.703027502917897,0.06957300164313819,0.010371330738184104,45,1.4793237249829614
17B-HF | 30-04-2018,Int4,2.6748402056588976,0.17107508377973712,0.023498969985553914,53,6.3957122903196355
18A-HF | 12-02-2018,Int1,3.533324205843223,0.0884586265243157,0.011144739385794343,63,2.503552501013848
18A-HF | 12-02-2018,Int2,2.4904128987400918,0.128260266514809,0.021679941991520863,35,5.150160705467608
18A-HF | 12-02-2018,Int3,4.505182869097831,0.05780428087149344,0.01261392821838603,21,1.283061810165074
18A-HF | 12-02-2018,Int4,2.3543640386400986,0.18475937354421312,0.03318376308768613,31,7.847527846667747
18B-HF | 03-04-2018,Int1,2.792946699750751,0.20165749365711994,0.017894208966918405,127,7.220241391470747
18B-HF | 03-04-2018,Int2,1.6606122633991882,0.08517112208411094,0.014396547241877656,35,5.12889877795856
18B-HF | 03-04-2018,Int3,3.437531072329302,0.11562401173325898,0.01805743687703538,41,3.36357720993373
18B-HF | 03-04-2018,Int4,1.1721314221913872,0.6317001497726055,0.07550260915290394,70,53.89328686296925
19A-HF | 19-02-2018,Int1,3.8586501985504107,0.08212674513600089,0.008855954682186973,86,2.1283801565338485
19A-HF | 19-02-2018,Int2,2.7242528207906584,0.15798062563370313,0.024376939764387522,42,5.7990442160156235
19A-HF | 19-02-2018,Int3,4.853379415150841,0.043289386065644024,0.0062482846745133035,48,0.8919431670746188
19A-HF | 19-02-2018,Int4,2.469554805827313,0.24005374602201324,0.026509501513194544,82,9.72052717581192
19B-HF | 09-04-2018,Int1,3.8394426887130364,0.051490288754896606,0.0048437989150828505,113,1.3410875725861118
19B-HF | 09-04-2018,Int2,2.8889213435998604,0.09803841728960096,0.011802438500587237,69,3.3935993967712568
19B-HF | 09-04-2018,Int3,4.7030893759011505,0.03723902725515167,0.0065829921742271025,32,0.7917992680718803
19B-HF | 09-04-2018,Int4,2.725413509125148,0.13250060857718182,0.015724929195892252,71,4.861669912970903
1A-HF | 14-08-2017,Int1,2.9385526939058146,0.18457949554388098,0.016378781687560535,127,6.281306301795282
1A-HF | 14-08-2017,Int2,3.1594129025085707,0.2443453235465243,0.026660260496676743,84,7.733883828622538
1A-HF | 14-08-2017,Int3,4.387366691226387,0.09180197556093306,0.01353546285558803,46,2.0924162948247194
1A-HF | 14-08-2017,Int4,2.8217668660323016,0.21012552590355782,0.022149175213198435,90,7.446594133377723
1B- | 02-10-2017,Int1,3.004691356999297,0.1998526683218011,0.020291964037226187,97,6.651354318181568
1B- | 02-10-2017,Int2,2.4135625530467886,0.28673452473025973,0.03379198780617808,72,11.880136455062956
1B- | 02-10-2017,Int3,3.111363678442572,0.2570136341542983,0.042835605692383046,36,8.260481920999649
