sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,3.0167492975334005,0.13928640527087538,0.01198786506593772,135,4.617102434887805
15A-HF | 15-01-2018,Int5,2.1236597557828256,0.12324655980166697,0.032939028634027395,14,5.803498393095259
17A-HF | 12-03-2018,Int1,2.164640087846032,0.280902222273323,0.025431692258516665,122,12.976855776187731
17A-HF | 12-03-2018,Int2,2.545581653303738,0.15177788869873038,0.018012721442704133,71,5.962405036261482
17A-HF | 12-03-2018,Int5,1.1604807259220988,0.30772123034243454,0.06715027766614991,21,26.516703247951344
17B-HF | 30-04-2018,Int1,2.9982315913962267,0.16529530472666787,0.01521666619891392,118,5.513093291425583
17B-HF | 30-04-2018,Int2,3.505806691625068,0.0864500530579309,0.009916501182717108,76,2.4659104355197115
17B-HF | 30-04-2018,Int5,2.2949347114499834,0.11768762308682461,0.021486721967939867,30,5.128146892356137
18A-HF | 12-02-2018,Int1,2.8912614143914515,0.16490448957043993,0.019041530288814265,75,5.703548241940924
18A-HF | 12-02-2018,Int2,3.5986942596295974,0.10451082404710806,0.01478006247822084,50,2.90413179078639
18A-HF | 12-02-2018,Int5,2.262536266517561,0.11658665707903083,0.027479738605484437,18,5.15291881966065
18B-HF | 03-04-2018,Int1,2.7075992506623097,0.14479308842175606,0.012848308952950818,127,5.347655801955848
18B-HF | 03-04-2018,Int2,2.989864329135124,0.12015930634762421,0.013351034038624914,81,4.018888254450751
18B-HF | 03-04-2018,Int5,1.3619646792718387,0.24785613076823396,0.05284310463291733,22,18.198425740434608
19B-HF | 09-04-2018,Int1,2.9666865803325693,0.12109759293953556,0.010461238695436902,134,4.081913935308946
19B-HF | 09-04-2018,Int2,3.690127249457615,0.09821414462272873,0.010780402905034245,83,2.661538152570877
19B-HF | 09-04-2018,Int5,2.543294595432474,0.10525800529591114,0.019217394619522925,30,4.138647779338853
1A-HF | 14-08-2017,Int1,3.6388486807822287,0.066837210577388,0.007769667909844778,74,1.836768067064011
1A-HF | 14-08-2017,Int2,4.020952590093353,0.09181138829928129,0.01273194877633051,52,2.283324317861448
1A-HF | 14-08-2017,Int5,2.279496164249009,0.1147433608222702,0.021684456952248483,28,5.033715898358309
1B- | 02-10-2017,Int1,3.922337336148938,0.10845809522149848,0.010388401444816979,109,2.765139403537017
1B- | 02-10-2017,Int2,3.999182983540576,0.07661945608200132,0.009431203087159046,66,1.91587772795953
1B- | 02-10-2017,Int5,2.4727962229125,0.18157630376298617,0.037064107799993105,24,7.3429545904564115
22A-HF | 09-04-2018,Int1,2.8699531190447223,0.13881295744640368,0.012465771573695593,124,4.836767420528745
22A-HF | 09-04-2018,Int2,3.318603468445723,0.09410968997441266,0.010268208998489828,84,2.8358220820666227
22A-HF | 09-04-2018,Int5,2.017779900507705,0.12894073228270397,0.02436750796332803,28,6.390227806821769
22B-HF | 28-05-2018,Int1,2.9960532770962125,0.15162092129511814,0.013841033130508601,120,5.060688421471256
22B-HF | 28-05-2018,Int2,3.519153903104868,0.09426107102973767,0.01022404864647893,85,2.6785151665737983
22B-HF | 28-05-2018,Int5,2.1339890685507026,0.08822730968858405,0.016108029234810525,30,4.134384331617199
22Bb-HF | 28-05-2018,Int1,3.053439550554411,0.13492901338050128,0.012637259950289404,114,4.4189187683772
22Bb-HF | 28-05-2018,Int2,3.5863430307857236,0.07713242758569615,0.009494345514378753,66,2.150726434241774
22Bb-HF | 28-05-2018,Int5,2.182940668048371,0.12958544630117563,0.025917089260235126,25,5.93627890111323
24A-HF | 12-04-2018,Int1,2.746899126419141,0.14691979556531176,0.013411881029194786,120,5.348569015595286
24A-HF | 12-04-2018,Int2,3.098530477969861,0.08607492435638997,0.009939076149527683,75,2.7779273100061856
24A-HF | 12-04-2018,Int5,1.5896054946149052,0.13472044257604546,0.026944088515209092,25,8.475086619443434
24B-HF | 04-06-2018,Int1,3.6111740337824063,0.11312209634250751,0.009808929751205625,133,3.132557314719653
24B-HF | 04-06-2018,Int2,4.129826061261645,0.0953182019900039,0.010219183915168403,87,2.308043984808517
24B-HF | 04-06-2018,Int5,2.7153630222457283,0.15265817108652344,0.027871441297190606,30,5.6220170134109075
25A-HF | 05-03-2018,Int1,2.0510490411219306,0.17584791350380954,0.015728315531840852,125,8.573559674985642
25A-HF | 05-03-2018,Int2,2.615398381791923,0.10759378206236718,0.01259289968374991,73,4.113858248572059
