sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,20.424788740973845,2.9142299294009772,0.2508169774130934,135,14.268103167964655
13A-HF | 26-02-2018,Int2,24.66956036993436,3.1418728998501586,0.3428064377974705,84,12.735828497694946
13A-HF | 26-02-2018,Int5,6.098652211571679,1.0463375615276973,0.1910342284045565,30,17.15686557010678
13B-HF | 13-04-2018,Int1,17.832481090126063,1.5223717899117128,0.17237466151466338,78,8.5370722235318
13B-HF | 13-04-2018,Int2,31.185564532509773,1.6085739020685264,0.23217764384266762,48,5.1580720957981985
13B-HF | 13-04-2018,Int5,8.839170916981198,0.7569218485986066,0.178408190657444,18,8.563267479582969
14A-HF | 22-01-2018,Int1,20.2351334853643,3.6544957770228104,0.32301484321880375,128,18.06015156591895
14A-HF | 22-01-2018,Int2,32.32597847302694,3.805060947857685,0.44232935046477473,74,11.770907262815443
14A-HF | 22-01-2018,Int5,10.237384688610147,1.6602877852125375,0.3031256906370663,30,16.217889975940157
14B-HF | 12-03-2018,Int1,14.451601386467,2.182433140092269,0.2140051763161934,104,15.101669923832647
14B-HF | 12-03-2018,Int2,23.987193196308933,2.8733005770473925,0.33401440748301275,74,11.978477654857619
14B-HF | 12-03-2018,Int5,5.227763195906623,0.800095430080503,0.16683142979297932,23,15.304737420145267
15A-HF | 15-01-2018,Int1,19.488446324795724,2.3638369541259814,0.2693842219487916,77,12.129427429617117
15A-HF | 15-01-2018,Int2,34.31412397765048,2.9127480074873744,0.45489481376284496,41,8.488481330266536
15A-HF | 15-01-2018,Int5,8.362304852632843,1.0121706018147114,0.2705139720682458,14,12.103966784899416
17A-HF | 12-03-2018,Int1,8.711501006443301,2.1027617194226425,0.19037510101757796,122,24.13776590127664
17A-HF | 12-03-2018,Int2,12.750642382848145,1.9991299965747773,0.23725308122800864,71,15.678661016043854
17A-HF | 12-03-2018,Int5,3.191467128383513,0.7431256496623396,0.16216331144956697,21,23.28476590134064
17B-HF | 30-04-2018,Int1,20.05028688313407,3.2157639671266542,0.2960350685288816,118,16.038493543110825
17B-HF | 30-04-2018,Int2,33.308330129671674,2.9434798530710227,0.33764029531275097,76,8.837068209699641
17B-HF | 30-04-2018,Int5,9.923998798992184,1.163465662070617,0.21241879599958655,30,11.723758594053548
18A-HF | 12-02-2018,Int1,18.016020942426206,3.0218271642721155,0.34893054534740586,75,16.7729998423568
18A-HF | 12-02-2018,Int2,36.55065077153836,3.5935039905504205,0.5081982079878243,50,9.831573213324694
18A-HF | 12-02-2018,Int5,9.607524447942392,1.1735787512801081,0.2766151644288684,18,12.215204422731905
18B-HF | 03-04-2018,Int1,14.993237268344508,2.1775017353664614,0.19322203391423137,127,14.5232260144636
18B-HF | 03-04-2018,Int2,19.88298476682791,2.297046326230318,0.25522736958114645,81,11.552824453512791
18B-HF | 03-04-2018,Int5,3.9041377350612105,1.010192582701448,0.21537378228907295,22,25.874921717781298
19B-HF | 09-04-2018,Int1,19.427441986722073,2.4402913328224245,0.21080906316451467,134,12.561053248751286
19B-HF | 09-04-2018,Int2,40.04994296656765,3.710636870016056,0.4072953101277732,83,9.265024105311639
19B-HF | 09-04-2018,Int5,12.723363195404701,1.3130547669110548,0.23972990502562425,30,10.320028963609959
1A-HF | 14-08-2017,Int1,38.04802888605285,2.5224663621269228,0.29323075840796653,74,6.629689989148363
1A-HF | 14-08-2017,Int2,55.75432454382748,4.984523381935977,0.6912290245122824,52,8.94015562509009
1A-HF | 14-08-2017,Int5,9.771830665616676,1.191187344362563,0.22511324843362848,28,12.190012139218645
1B- | 02-10-2017,Int1,50.51838533924254,5.45116405314493,0.5221268215154883,109,10.790455824229364
1B- | 02-10-2017,Int2,54.55356427860187,4.075044053970411,0.5016032484096824,66,7.469803500206511
1B- | 02-10-2017,Int5,11.855650222512569,1.8882697323759137,0.3854414450885615,24,15.927171407185229
22A-HF | 09-04-2018,Int1,17.636295847652473,2.369455138167992,0.21278335286477795,124,13.43510654752021
22A-HF | 09-04-2018,Int2,27.62178494554745,2.4938067996466873,0.27209662923753614,84,9.028405675313468
22A-HF | 09-04-2018,Int5,7.5216214930087,0.9049902557793457,0.17102708255206306,28,12.031850534097314
22B-HF | 28-05-2018,Int1,20.006421688389807,3.00370079263116,0.27419911335337227,120,15.013683303367928
22B-HF | 28-05-2018,Int2,33.75585565321022,3.244338185113181,0.35189788390757526,85,9.611186332954476
22B-HF | 28-05-2018,Int5,8.448542811377592,0.7639399606394117,0.13947571634060485,30,9.042268917790405
22Bb-HF | 28-05-2018,Int1,21.188251203206562,2.8971474862036835,0.27134272296379414,114,13.673367652754836
22Bb-HF | 28-05-2018,Int2,36.10183159465626,2.8395605193651763,0.34952573805470794,66,7.865419547814533
22Bb-HF | 28-05-2018,Int5,8.87235859574552,1.096676723506036,0.2193353447012072,25,12.360599627160191
24A-HF | 12-04-2018,Int1,15.59421367895576,2.1461028381042366,0.19591148919259133,120,13.762174113340395
