sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,47.647654860193015,3.9291863043861386,0.3486589043905684,127,8.246337235096027
13A-HF | 26-02-2018,Int3,64.79532460614413,3.907085594302329,0.6511809323837215,36,6.02988814092899
13A-HF | 26-02-2018,Int4,6.916024763600668,2.20893508723576,0.2640182412426745,70,31.93937504188069
13B-HF | 13-04-2018,Int1,38.70885119869076,3.3400233520472318,0.37111370578302577,81,8.628577828112348
13B-HF | 13-04-2018,Int2,14.056825658710551,2.4683566366444536,0.3269418234011822,57,17.559843855037744
13B-HF | 13-04-2018,Int3,79.25334756429832,5.541005388996605,0.9645652297544186,33,6.9915095819784545
13B-HF | 13-04-2018,Int4,11.18320780249936,4.345513068951871,0.59134942719599215,54,38.85748298427114
14A-HF | 22-01-2018,Int1,25.34828941988406,2.68012006551315,0.25553942171532346,110,10.573179204000931
14A-HF | 22-01-2018,Int2,9.506100649334691,2.8272801658382134,0.3309081140545708,73,29.741744487379147
14A-HF | 22-01-2018,Int3,68.61349687240701,7.051018764124605,1.0177268953821108,48,10.276431147703507
14A-HF | 22-01-2018,Int4,9.06994382184426,3.063672302416189,0.35376240570175743,75,33.77829413934814
14B-HF | 12-03-2018,Int1,17.56095067635214,3.506594485582762,0.3214489894621132,119,19.96813583848168
14B-HF | 12-03-2018,Int2,5.639677663159167,1.6179826056724715,0.21064339341841484,59,28.68927449953105
14B-HF | 12-03-2018,Int3,28.632132051701532,2.9055658853729396,0.4380305384290376,44,10.14792010642557
14B-HF | 12-03-2018,Int4,4.1738845385764805,1.0266161372446791,0.14101657157075387,53,24.596179596161292
15A-HF | 15-01-2018,Int1,30.36106808454597,3.584870697104684,0.4379616611544798,67,11.807459102301518
15A-HF | 15-01-2018,Int2,14.01635753049001,2.624843982303331,0.4203114209126252,39,18.72700504816223
15A-HF | 15-01-2018,Int3,94.25658911432099,9.776983832023983,1.7019544277954912,33,10.372732478326553
15A-HF | 15-01-2018,Int4,10.06902081632866,3.713421808937762,0.5304888298482517,49,36.8796715855012
17A-HF | 12-03-2018,Int1,13.67218793004354,2.339118348306704,0.23275097488677335,101,17.108588327451805
17A-HF | 12-03-2018,Int2,5.679066429324133,4.935687047597147,0.6075410776961137,66,86.91018337294823
17A-HF | 12-03-2018,Int3,28.508460393778993,3.587163269246447,0.5177624197816435,48,12.582802507389083
17A-HF | 12-03-2018,Int4,5.979531410079075,4.431414844111736,0.5454694603096609,66,74.10973436216356
17B-HF | 30-04-2018,Int1,42.50009025258532,3.6929338829808454,0.33996211982488633,118,8.68923774286856
17B-HF | 30-04-2018,Int2,15.249287223801574,2.760265569318121,0.3145614554611838,77,18.100948121757522
17B-HF | 30-04-2018,Int3,110.28054222187951,7.76056919673525,1.156877351199397,45,7.03711556035092
17B-HF | 30-04-2018,Int4,14.510031033481429,2.44606599187679,0.3359930040999053,53,16.857758513628067
18A-HF | 12-02-2018,Int1,34.23759145718188,3.0245483196182734,0.3810572705718215,63,8.833998511258672
18A-HF | 12-02-2018,Int2,12.066257234435826,1.7336603333915157,0.2930420814039796,35,14.367838342148318
18A-HF | 12-02-2018,Int3,90.48488942610058,5.309842046510863,1.1587025288759647,21,5.868208581773684
18A-HF | 12-02-2018,Int4,10.531429149538607,2.1157629867548122,0.3800022502531694,31,20.089989276028184
18B-HF | 03-04-2018,Int1,16.329065832628416,3.09536039164655,0.2746688192516378,127,18.956138846972266
