Sample,variable,value
2B_2-DB2 | 12-02-2018,Glyco.Rsrv.Cpcty,18.20558181955156
31A-HF | 13-08-2018,Glyco.Rsrv.Cpcty,35.79471998797096
31Bt-HF | 01-10-2018,Glyco.Rsrv.Cpcty,16.841463267201547
32A-HF | 15-05-2018,Glyco.Rsrv.Cpcty,14.472351954659423
32Ab- | 15-05-2018,Glyco.Rsrv.Cpcty,12.62124961320852
32B-HF | 29-06-2018,Glyco.Rsrv.Cpcty,16.934458368060962
33A-HF | 20-08-2018,Glyco.Rsrv.Cpcty,13.519719436906762
33B-HF | 08-10-2018,Glyco.Rsrv.Cpcty,2.3263170764370464
34B-HF | 14-11-2018,Glyco.Rsrv.Cpcty,23.362079555654795
36A-HF | 27-08-2018,Glyco.Rsrv.Cpcty,10.807247107103226
36B-HF | 15-10-2018,Glyco.Rsrv.Cpcty,10.78606436251047
39 post-ConBis  | 23-11-2018,Glyco.Rsrv.Cpcty,14.34723934366437
39A-HF | 15-10-2018,Glyco.Rsrv.Cpcty,12.030598866659897
3A-HF | 28-08-2017,Glyco.Rsrv.Cpcty,14.390526977313627
3Ab-HF | 28-08-2017,Glyco.Rsrv.Cpcty,14.53219777491067
4 post-Conbis  | 13-11-2017,Glyco.Rsrv.Cpcty,30.27913709246194
40A-HF | 07-01-2019,Glyco.Rsrv.Cpcty,21.992267089486916
40B-HF | 25-02-2019,Glyco.Rsrv.Cpcty,18.565769917817857
42B-HF | 19-11-2018,Glyco.Rsrv.Cpcty,5.954600169254526
43A-HF | 15-10-2018,Glyco.Rsrv.Cpcty,17.583928657710175
43B-HF | 05-12-2018,Glyco.Rsrv.Cpcty,17.581544436740806
44A-HF | 29-10-2018,Glyco.Rsrv.Cpcty,15.005907625120127
46A-HF | 19-11-2018,Glyco.Rsrv.Cpcty,15.460094675245337
46B-HF | 07-01-2019,Glyco.Rsrv.Cpcty,31.420960837556116
48 post-ConBis  | 21-12-2018,Glyco.Rsrv.Cpcty,7.5985225710075
48 pre- | 05-11-2018,Glyco.Rsrv.Cpcty,22.1325342487414
49A-HF | 05-12-2018,Glyco.Rsrv.Cpcty,14.459821968113964
49B-HF | 22-01-2019,Glyco.Rsrv.Cpcty,10.51064063547782
4A-HF | 25-09-2017,Glyco.Rsrv.Cpcty,4.217172017181529
4Ab-HF | 25-09-2017,Glyco.Rsrv.Cpcty,2.3420263771675565
50B-HF | 14-01-2019,Glyco.Rsrv.Cpcty,17.398682554716615
53 post-ConBis   | 20-02-2019,Glyco.Rsrv.Cpcty,14.609495198624366
53A-HF | 02-01-2019,Glyco.Rsrv.Cpcty,14.470268422339238
55A-HF | 21-01-2019,Glyco.Rsrv.Cpcty,11.862618526107752
55B-HF | 25-02-2019,Glyco.Rsrv.Cpcty,34.45061042215402
5A-HF | 18-09-2017,Glyco.Rsrv.Cpcty,13.65696380524571
5B-HF | 06-11-2017,Glyco.Rsrv.Cpcty,14.35286683195853
7A-CHF | 23-11-2017,Glyco.Rsrv.Cpcty,5.145988931413708
8A-HF | 23-10-2017,Glyco.Rsrv.Cpcty,-0.9912274953902411
8B-HF | 11-12-2017,Glyco.Rsrv.Cpcty,18.5880727383263
9A_2-DB2 | 13-08-2018,Glyco.Rsrv.Cpcty,28.74772532163727
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,Glyco.Rsrv.Cpcty,34.7662064594215
Glycolysis-DB-26-26 | 06-12-2017,Glyco.Rsrv.Cpcty,7.662320699203827
Glycolysis-DB-26-26 | 19-02-2018,Glyco.Rsrv.Cpcty,25.50663617051984
X-HC | 23-10-2017,Glyco.Rsrv.Cpcty,1.929030701921974
10A-HF | 30-10-2017,Non.Glyco.Acid.,13.319837397980505
10B-HF | 18-12-2017,Non.Glyco.Acid.,6.274942215435461
11-HC | 18-09-2017,Non.Glyco.Acid.,4.353564326407946
11A-HF | 28-11-2017,Non.Glyco.Acid.,8.097831018703749
11B-HF | 15-01-2018,Non.Glyco.Acid.,15.719331305335738
11B_2-DB2 | 14-01-2019,Non.Glyco.Acid.,9.636863125996987
12B-HF | 22-01-2018,Non.Glyco.Acid.,7.672020295552747
13A-HF | 26-02-2018,Non.Glyco.Acid.,6.098652211571679
13B-HF | 13-04-2018,Non.Glyco.Acid.,8.839170916981198
14A-HF | 22-01-2018,Non.Glyco.Acid.,10.237384688610147
14B-HF | 12-03-2018,Non.Glyco.Acid.,5.227763195906623
15A-HF | 15-01-2018,Non.Glyco.Acid.,8.362304852632843
17A-HF | 12-03-2018,Non.Glyco.Acid.,3.191467128383513
17B-HF | 30-04-2018,Non.Glyco.Acid.,9.923998798992184
18A-HF | 12-02-2018,Non.Glyco.Acid.,9.607524447942392
18B-HF | 03-04-2018,Non.Glyco.Acid.,3.9041377350612105
19B-HF | 09-04-2018,Non.Glyco.Acid.,12.723363195404701
1A-HF | 14-08-2017,Non.Glyco.Acid.,9.771830665616676
1B- | 02-10-2017,Non.Glyco.Acid.,11.855650222512569
22A-HF | 09-04-2018,Non.Glyco.Acid.,7.5216214930087
22B-HF | 28-05-2018,Non.Glyco.Acid.,8.448542811377592
22Bb-HF | 28-05-2018,Non.Glyco.Acid.,8.87235859574552
24A-HF | 12-04-2018,Non.Glyco.Acid.,4.901814754513323
24B-HF | 04-06-2018,Non.Glyco.Acid.,15.110099101715942
25A-HF | 05-03-2018,Non.Glyco.Acid.,3.7361215326176205
25B-HF | 23-04-2018,Non.Glyco.Acid.,18.388857554293594
