Sample,variable,value
48B-HF | 21-12-2018,ATP.linked.Resp,21.37734301302344
49A-HF | 05-12-2018,ATP.linked.Resp,23.51412011343852
49B-HF | 22-01-2019,ATP.linked.Resp,21.662536054023853
4A-HF | 25-09-2017,ATP.linked.Resp,14.296864990307753
4Ab-HF | 25-09-2017,ATP.linked.Resp,8.55447941605815
4B-HF | 13-11-2017,ATP.linked.Resp,33.40314697429927
50A-HF | 26-11-2018,ATP.linked.Resp,22.30012856429003
50B-HF | 14-01-2019,ATP.linked.Resp,30.326923845168754
53 post-ConBis   | 20-02-2019,ATP.linked.Resp,21.652493340089947
53A-HF | 02-01-2019,ATP.linked.Resp,21.325876115941906
55A-HF | 21-01-2019,ATP.linked.Resp,23.567790217532433
55B-HF | 25-02-2019,ATP.linked.Resp,49.085657073905764
5A-HF | 18-09-2017,ATP.linked.Resp,32.20445980524329
5B-HF | 06-11-2017,ATP.linked.Resp,24.827956588865813
7A-HF | 23-11-2017,ATP.linked.Resp,14.530179722947139
8A-HF | 23-10-2017,ATP.linked.Resp,0.09695101496356706
8B-HF | 11-12-2017,ATP.linked.Resp,30.36801746635017
9A_2-DB2 | 13-08-2018,ATP.linked.Resp,31.801742564860913
X-HC | 23-10-2017,ATP.linked.Resp,-0.30657953578328545
Y-HC | 28-11-2017,ATP.linked.Resp,23.60742729253394
10A-HF | 30-10-2017,Proton.Leak,1.9036085709436321
10B-HF | 18-12-2017,Proton.Leak,2.1316594735505925
11-HC | 18-09-2017,Proton.Leak,1.9551402366570034
11A-HF | 28-11-2017,Proton.Leak,0.8746504679170339
11B-HF | 15-01-2018,Proton.Leak,9.2378351565991
11B_2-DB2 | 14-01-2019,Proton.Leak,-0.1735495256040238
12A-HF | 06-12-2017,Proton.Leak,2.110709619879397
12B-HF | 22-01-2018,Proton.Leak,2.4185890734845943
13A-HF | 26-02-2018,Proton.Leak,3.4690421377571665
13B-HF | 13-04-2018,Proton.Leak,2.8736178562111903
14A-HF | 22-01-2018,Proton.Leak,0.4361568274904304
14B-HF | 12-03-2018,Proton.Leak,1.465793124582687
15A-HF | 15-01-2018,Proton.Leak,3.9473367141613505
17A-HF | 12-03-2018,Proton.Leak,-0.300464980754942
17B-HF | 30-04-2018,Proton.Leak,0.7392561903201447
18A-HF | 12-02-2018,Proton.Leak,1.5348280848972191
18B-HF | 03-04-2018,Proton.Leak,2.033332271978993
19A-HF | 19-02-2018,Proton.Leak,3.4283357846733473
19B-HF | 09-04-2018,Proton.Leak,2.711187569070498
1A-HF | 14-08-2017,Proton.Leak,6.75026011080114
1B- | 02-10-2017,Proton.Leak,0.18969218112321684
22A-HF | 09-04-2018,Proton.Leak,2.214688742141062
22B-HF | 28-05-2018,Proton.Leak,2.2894837333594236
22Bb-HF | 28-05-2018,Proton.Leak,2.3084014885801807
24A-HF | 12-04-2018,Proton.Leak,0.052885042904325275
24B-HF | 04-06-2018,Proton.Leak,5.175272772939991
25A-HF | 05-03-2018,Proton.Leak,1.0054156213993677
25B-HF | 23-04-2018,Proton.Leak,1.5145677404374354
26A-HF | 23-04-2018,Proton.Leak,1.5021186976766572
26B-HF | 11-06-2018,Proton.Leak,3.588129411596631
27A-HF | 30-04-2018,Proton.Leak,4.581904623576708
27B-HF | 18-06-2018,Proton.Leak,2.1669762961395804
27Bb-HF | 18-06-2018,Proton.Leak,2.691249100277716
29A-HF | 08-05-2018,Proton.Leak,3.0825427522110758
2B_2-DB2 | 12-02-2018,Proton.Leak,1.192196360907431
31A-HF | 13-08-2018,Proton.Leak,7.2922193020658135
31B-HF | 01-10-2018,Proton.Leak,1.8525983888911988
32A-HF | 15-05-2018,Proton.Leak,3.4947166871394764
32Ab-HF | 15-05-2018,Proton.Leak,2.462854404933836
32B-HF | 29-06-2018,Proton.Leak,1.5544045106830566
33A-HF | 20-08-2018,Proton.Leak,2.7453646701316625
33B-HF | 08-10-2018,Proton.Leak,1.0320221516370545
34B-HF | 14-11-2018,Proton.Leak,-0.3564924485579297
36A-HF | 27-08-2018,Proton.Leak,2.1358124233441362
36B-HF | 15-10-2018,Proton.Leak,1.848716882845176
39 post-ConBis  | 23-11-2018,Proton.Leak,1.051431667365664
