Sample,variable,value
22Bb-HF | 28-05-2018,log.Spare.Resp.Cpcty,0.7082130180081911
24A-HF | 12-04-2018,log.Spare.Resp.Cpcty,0.5798625446564989
24B-HF | 04-06-2018,log.Spare.Resp.Cpcty,0.8123724570336597
25A-HF | 05-03-2018,log.Spare.Resp.Cpcty,0.6108917521307733
25B-HF | 23-04-2018,log.Spare.Resp.Cpcty,0.799283326357366
26A-HF | 23-04-2018,log.Spare.Resp.Cpcty,0.7008481835709555
26B-HF | 11-06-2018,log.Spare.Resp.Cpcty,0.6780564669411064
27A-HF | 30-04-2018,log.Spare.Resp.Cpcty,0.8061593519423926
27B-HF | 18-06-2018,log.Spare.Resp.Cpcty,0.6571223488896916
27Bb-HF | 18-06-2018,log.Spare.Resp.Cpcty,0.6305089590610802
29A-HF | 08-05-2018,log.Spare.Resp.Cpcty,0.8521280931122308
2B_2-DB2 | 12-02-2018,log.Spare.Resp.Cpcty,1.0278146250032338
31A-HF | 13-08-2018,log.Spare.Resp.Cpcty,1.1475576842257427
31B-HF | 01-10-2018,log.Spare.Resp.Cpcty,1.0501125177433872
32A-HF | 15-05-2018,log.Spare.Resp.Cpcty,0.779461740828463
32Ab-HF | 15-05-2018,log.Spare.Resp.Cpcty,0.7501882375886089
32B-HF | 29-06-2018,log.Spare.Resp.Cpcty,0.7626295032780401
33A-HF | 20-08-2018,log.Spare.Resp.Cpcty,0.9286879230707852
33B-HF | 08-10-2018,log.Spare.Resp.Cpcty,-0.33497796519818346
34B-HF | 14-11-2018,log.Spare.Resp.Cpcty,0.8320859407693435
36A-HF | 27-08-2018,log.Spare.Resp.Cpcty,0.7891589936772996
36B-HF | 15-10-2018,log.Spare.Resp.Cpcty,0.9743615137722315
39 post-ConBis  | 23-11-2018,log.Spare.Resp.Cpcty,1.0872162027236483
39A-HF | 15-10-2018,log.Spare.Resp.Cpcty,0.9327807667153749
3A-HF | 28-08-2017,log.Spare.Resp.Cpcty,0.5547001987702522
3Ab-HF | 28-08-2017,log.Spare.Resp.Cpcty,0.5287475363244565
40A-HF | 07-01-2019,log.Spare.Resp.Cpcty,1.051653662557209
40B-HF | 25-02-2019,log.Spare.Resp.Cpcty,0.8452887176684305
42B-HF | 19-11-2018,log.Spare.Resp.Cpcty,0.9165234743425583
43A-HF | 15-10-2018,log.Spare.Resp.Cpcty,0.9290750511755665
43B-HF | 05-12-2018,log.Spare.Resp.Cpcty,0.7498790562685183
44A-HF | 29-10-2018,log.Spare.Resp.Cpcty,0.7497618493249325
46A-HF | 19-11-2018,log.Spare.Resp.Cpcty,0.17121668072035678
46B-HF | 07-01-2019,log.Spare.Resp.Cpcty,0.9395629323941344
