Sample,variable,value
7A_3x-DB2 | 29-08-2018,log.ATP.linked.Resp,1.0818428186169502
7A_3y-DB2 | 29-08-2018,log.ATP.linked.Resp,1.0057531475112191
7A_4x-DB2 | 21-09-2018,log.ATP.linked.Resp,0.9240984402672137
7A_4y-DB2 | 21-09-2018,log.ATP.linked.Resp,0.8908931579803205
9A_1x-DB2 | 02-07-2018,log.ATP.linked.Resp,0.7309578347813472
9A_1y-DB2 | 02-07-2018,log.ATP.linked.Resp,0.8404284624742346
9A_3x-DB2 | 23-Aug-18 ,log.ATP.linked.Resp,1.037684219594948
9A_3y-DB2 | 23-Aug-18 ,log.ATP.linked.Resp,0.9475173731411424
9A_4x-DB2 | 17-Sep-18 ,log.ATP.linked.Resp,1.1109771055474904
10A_1x-DB2 | 16-Oct-18 ,log.Proton.Leak,0.2417063358516991
10A_1y-DB2 | 16-Oct-18 ,log.Proton.Leak,0.13847354737714568
10A_2x-DB2 | 08-Nov-18 ,log.Proton.Leak,0.15278767611156763
10A_2y-DB2 | 08-Nov-18 ,log.Proton.Leak,0.20672251086650872
10A_3x-DB2 | 20-Nov-18 ,log.Proton.Leak,0.15555122353759865
10A_3y-DB2 | 20-Nov-18 ,log.Proton.Leak,0.057868066071511404
10A_4x-DB2 | 14-Dec-18 ,log.Proton.Leak,0.1954550279966778
10A_4y-DB2 | 14-Dec-18 ,log.Proton.Leak,0.26197732545852404
11B_1x-DB2 | 20-Dec-18 ,log.Proton.Leak,0.1953121978316923
11B_1y-DB2 | 20-Dec-18 ,log.Proton.Leak,0.030269706892967818
11B_3x-DB2 | 23-01-2019,log.Proton.Leak,-0.047517014681486724
11B_3y-DB2 | 23-01-2019,log.Proton.Leak,-0.0040780753775297995
11B_4x-DB2 | 18-Feb-19 ,log.Proton.Leak,0.31636970116274865
11B_4y-DB2 | 18-Feb-19 ,log.Proton.Leak,0.15461594241169463
1A_1x-DB2 | 09-10-2017,log.Proton.Leak,0.12567056601076754
1A_1y-DB2 | 09-10-2017,log.Proton.Leak,0.05670429918671571
1A_2x-DB2 | 03-11-2017,log.Proton.Leak,0.269906678546187
1A_2y-DB2 | 03-11-2017,log.Proton.Leak,0.23494165310192772
1A_3x-DB2 | 14-11-2017,log.Proton.Leak,0.06629641179793255
1A_3y-DB2 | 14-11-2017,log.Proton.Leak,0.08979034939806674
1A_4x-DB2 | 07-12-2017,log.Proton.Leak,0.13623220833845728
1A_4y-DB2 | 07-12-2017,log.Proton.Leak,0.22128355605548533
2B_1x-DB2 | 17-01-2018,log.Proton.Leak,0.06256364255324698
2B_1y-DB2 | 17-01-2018,log.Proton.Leak,0.004988862894311108
2B_3x-DB2 | 20-Feb-18 ,log.Proton.Leak,0.15799123563924944
2B_3y-DB2 | 20-Feb-18 ,log.Proton.Leak,0.0539332949228859
2B_4x-DB2 | 15-03-2018,log.Proton.Leak,0.29331478261406607
2B_4y-DB2 | 15-03-2018,log.Proton.Leak,0.3338231406727794
3B_1x-DB2 | 31-01-2018,log.Proton.Leak,-0.253185195094185
3B_1y-DB2 | 31-01-2018,log.Proton.Leak,-1.168852626307289
