Sample,variable,value
7A_2x-DB2 | 17-08-2018,Glyco.Rsrv.Cpcty,12.203420022420389
7A_2y-DB2 | 17-08-2018,Glyco.Rsrv.Cpcty,12.549282109996462
7A_3x-DB2 | 29-08-2018,Glyco.Rsrv.Cpcty,25.027211700022526
7A_3y-DB2 | 29-08-2018,Glyco.Rsrv.Cpcty,26.199015256978214
7A_4x-DB2 | 21-09-2018,Glyco.Rsrv.Cpcty,22.853714576660316
7A_4y-DB2 | 21-09-2018,Glyco.Rsrv.Cpcty,24.613031943200987
9A_1x-DB2 | 02-07-2018,Glyco.Rsrv.Cpcty,6.388077522583636
9A_1y-DB2 | 02-07-2018,Glyco.Rsrv.Cpcty,5.68748223952786
9A_3x-DB2 | 23-Aug-18 ,Glyco.Rsrv.Cpcty,24.664696100473925
9A_3y-DB2 | 23-Aug-18 ,Glyco.Rsrv.Cpcty,24.20779544093362
9A_4x-DB2 | 17-Sep-18 ,Glyco.Rsrv.Cpcty,16.325469509101094
10A_1x-DB2 | 16-Oct-18 ,Non.Glyco.Acid.,14.023116823173245
10A_1y-DB2 | 16-Oct-18 ,Non.Glyco.Acid.,14.811501080187696
10A_2x-DB2 | 08-Nov-18 ,Non.Glyco.Acid.,17.03334297090131
10A_2y-DB2 | 08-Nov-18 ,Non.Glyco.Acid.,17.78677165776766
10A_3x-DB2 | 20-Nov-18 ,Non.Glyco.Acid.,16.134893655222832
10A_3y-DB2 | 20-Nov-18 ,Non.Glyco.Acid.,17.800848366401013
10A_4x-DB2 | 14-Dec-18 ,Non.Glyco.Acid.,20.356090893644797
10A_4y-DB2 | 14-Dec-18 ,Non.Glyco.Acid.,19.676388537725693
11B_1x-DB2 | 20-Dec-18 ,Non.Glyco.Acid.,17.4058802153579
11B_1y-DB2 | 20-Dec-18 ,Non.Glyco.Acid.,19.18266337818486
11B_3x-DB2 | 23-01-2019,Non.Glyco.Acid.,9.487108572305985
11B_3y-DB2 | 23-01-2019,Non.Glyco.Acid.,9.967779192622285
11B_4x-DB2 | 18-Feb-19 ,Non.Glyco.Acid.,13.828836230601965
11B_4y-DB2 | 18-Feb-19 ,Non.Glyco.Acid.,14.23471054031373
1A_1x-DB2 | 09-10-2017,Non.Glyco.Acid.,7.254558948956403
1A_1y-DB2 | 09-10-2017,Non.Glyco.Acid.,7.410599507117301
1A_2x-DB2 | 03-11-2017,Non.Glyco.Acid.,7.074785625329416
1A_2y-DB2 | 03-11-2017,Non.Glyco.Acid.,9.041443115461167
1A_3x-DB2 | 14-11-2017,Non.Glyco.Acid.,9.450620621780763
1A_3y-DB2 | 14-11-2017,Non.Glyco.Acid.,9.74982356135133
1A_4x-DB2 | 07-12-2017,Non.Glyco.Acid.,10.168382380374357
1A_4y-DB2 | 07-12-2017,Non.Glyco.Acid.,10.771366739717696
2B_1x-DB2 | 17-01-2018,Non.Glyco.Acid.,7.925019092043948
2B_1y-DB2 | 17-01-2018,Non.Glyco.Acid.,8.139030295485462
2B_3x-DB2 | 20-Feb-18 ,Non.Glyco.Acid.,5.180150915554968
2B_3y-DB2 | 20-Feb-18 ,Non.Glyco.Acid.,4.750334236382808
2B_4x-DB2 | 15-03-2018,Non.Glyco.Acid.,5.720370774232787
2B_4y-DB2 | 15-03-2018,Non.Glyco.Acid.,6.045199292515537
3B_1x-DB2 | 31-01-2018,Non.Glyco.Acid.,11.032117540122256
3B_1y-DB2 | 31-01-2018,Non.Glyco.Acid.,10.311099927885575
3B_2x-DB2 | 23-Feb-18 ,Non.Glyco.Acid.,8.978772836835754
3B_2y-DB2 | 23-Feb-18 ,Non.Glyco.Acid.,9.021406717207203
3B_3x-DB2 | 07-03-2018,Non.Glyco.Acid.,10.376663056918554
3B_3y-DB2 | 07-03-2018,Non.Glyco.Acid.,10.303363673182833
3B_4x-DB2 | 28-03-2018,Non.Glyco.Acid.,12.312667355823274
3B_4y-DB2 | 28-03-2018,Non.Glyco.Acid.,12.805829608557525
4A_1x-DB2 | 09-01-2018,Non.Glyco.Acid.,5.331209060991593
4A_1y-DB2 | 09-01-2018,Non.Glyco.Acid.,5.826532939491388
4A_3x-DB2 | 13-02-2018,Non.Glyco.Acid.,9.015414016211999
4A_3y-DB2 | 13-02-2018,Non.Glyco.Acid.,9.596148184357029
4A_4x-DB2 | 09-03-2018,Non.Glyco.Acid.,11.341737665747232
4A_4y-DB2 | 09-03-2018,Non.Glyco.Acid.,12.325057911622633
5A_1-DB2 | 27-03-2018,Non.Glyco.Acid.,12.866162280089764
5A_2x-DB2 | 23-04-2018,Non.Glyco.Acid.,16.864513014938233
5A_2y-DB2 | 23-04-2018,Non.Glyco.Acid.,16.742017233684233
5A_3-DB2 | 02-05-2018,Non.Glyco.Acid.,9.95480432275459
5A_4x-DB2 | 25-05-2018,Non.Glyco.Acid.,17.042324319131097
5A_4y-DB2 | 25-05-2018,Non.Glyco.Acid.,16.511771385094264
6G_1-DB2 | 27-03-2018,Non.Glyco.Acid.,13.181327387554663
6G_2x-DB2 | 19-04-2018,Non.Glyco.Acid.,15.006820263239968
6G_2y-DB2 | 19-04-2018,Non.Glyco.Acid.,15.468039517349617
6G_3-DB2 | 02-05-2018,Non.Glyco.Acid.,6.41221018560487
6G_4x-DB2 | 24-05-2018,Non.Glyco.Acid.,14.904292523402276
6G_4y-DB2 | 24-05-2018,Non.Glyco.Acid.,14.247610385535081
7A_2x-DB2 | 17-08-2018,Non.Glyco.Acid.,7.509261317335265
7A_2y-DB2 | 17-08-2018,Non.Glyco.Acid.,7.686228209471118
7A_3x-DB2 | 29-08-2018,Non.Glyco.Acid.,14.74050712638021
7A_3y-DB2 | 29-08-2018,Non.Glyco.Acid.,14.366631201352162
7A_4x-DB2 | 21-09-2018,Non.Glyco.Acid.,18.76280767654832
7A_4y-DB2 | 21-09-2018,Non.Glyco.Acid.,19.593358284770737
9A_1x-DB2 | 02-07-2018,Non.Glyco.Acid.,5.53730380932653
9A_1y-DB2 | 02-07-2018,Non.Glyco.Acid.,5.94264444687053
9A_3x-DB2 | 23-Aug-18 ,Non.Glyco.Acid.,13.198343553078788
9A_3y-DB2 | 23-Aug-18 ,Non.Glyco.Acid.,13.467099664238837
9A_4x-DB2 | 17-Sep-18 ,Non.Glyco.Acid.,5.020830928505159
